/usr/lib/jdk1.8.0_111/bin/java -Didea.launcher.port=7538 -Didea.launcher.bin.path=/home/centos/Downloads/idea-IC-163.10154.41/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jdk1.8.0_111/jre/lib/charsets.jar:/usr/lib/jdk1.8.0_111/jre/lib/deploy.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/cldrdata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/dnsns.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jaccess.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jfxrt.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/localedata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/nashorn.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunec.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunjce_provider.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunpkcs11.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/zipfs.jar:/usr/lib/jdk1.8.0_111/jre/lib/javaws.jar:/usr/lib/jdk1.8.0_111/jre/lib/jce.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfr.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfxswt.jar:/usr/lib/jdk1.8.0_111/jre/lib/jsse.jar:/usr/lib/jdk1.8.0_111/jre/lib/management-agent.jar:/usr/lib/jdk1.8.0_111/jre/lib/plugin.jar:/usr/lib/jdk1.8.0_111/jre/lib/resources.jar:/usr/lib/jdk1.8.0_111/jre/lib/rt.jar:/home/centos/IdeaProjects/Verk1/out/production/Verk1:/home/centos/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.12.1.jar:/home/centos/.ivy2/cache/org.scala-lang/scala-reflect/jars/scala-reflect-2.12.1.jar:/home/centos/Downloads/idea-IC-163.10154.41/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain Main -s 1000 -e 100000 -n 3 -w 10000000 -i 500 -sm 3000
Parameters: S: 1000 , E: 100000 , N: 3 , W: 10000000 , I:500 , Sm: 3000
Resetting counter between each W random write operations
---------------------
---------------------
Testing writes by finger table
NetworkSize: 1001
15506: writeCount 23441
15555: writeCount 11026
15577: writeCount 11192
15662: writeCount 15645
15695: writeCount 14007
15930: writeCount 35374
15999: writeCount 33834
16132: writeCount 43807
16579: writeCount 64753
16606: writeCount 60556
16676: writeCount 54211
16803: writeCount 22503
16910: writeCount 30468
16995: writeCount 32061
17071: writeCount 26917
17356: writeCount 45162
17444: writeCount 45486
17471: writeCount 40537
17503: writeCount 14681
17554: writeCount 10846
17649: writeCount 17656
17652: writeCount 14861
17722: writeCount 16957
17727: writeCount 7952
18047: writeCount 39722
18144: writeCount 42215
18198: writeCount 47165
18239: writeCount 19273
18440: writeCount 29970
18658: writeCount 46723
19491: writeCount 125556
19507: writeCount 106802
19587: writeCount 92590
19676: writeCount 18700
19809: writeCount 30388
19887: writeCount 30159
19925: writeCount 24829
19954: writeCount 14519
20128: writeCount 24174
20158: writeCount 23366
20165: writeCount 21165
20186: writeCount 5841
20336: writeCount 17969
20354: writeCount 19063
20359: writeCount 17458
20391: writeCount 5549
20487: writeCount 13367
20753: writeCount 39215
20757: writeCount 36358
20830: writeCount 34197
20839: writeCount 8812
20922: writeCount 16827
20950: writeCount 12084
21011: writeCount 17371
21148: writeCount 22841
21251: writeCount 30335
21268: writeCount 25728
21289: writeCount 13889
21322: writeCount 6915
21368: writeCount 9817
21466: writeCount 17588
21511: writeCount 18873
21610: writeCount 24118
21658: writeCount 19020
21676: writeCount 16302
21744: writeCount 13237
21887: writeCount 22766
22002: writeCount 32604
22412: writeCount 66687
22567: writeCount 68088
22694: writeCount 68899
22708: writeCount 29456
22728: writeCount 15887
23062: writeCount 36736
23085: writeCount 37679
23149: writeCount 42082
23166: writeCount 10449
23168: writeCount 8345
23323: writeCount 17374
23336: writeCount 16969
23469: writeCount 30187
23747: writeCount 42731
23757: writeCount 42471
24158: writeCount 69316
24456: writeCount 71049
24513: writeCount 75743
24584: writeCount 42520
24600: writeCount 14398
24703: writeCount 19053
24794: writeCount 21028
24890: writeCount 29133
25247: writeCount 54849
25271: writeCount 48211
25389: writeCount 50234
25472: writeCount 22446
25520: writeCount 24854
25522: writeCount 13288
25629: writeCount 15689
25632: writeCount 11193
25666: writeCount 14328
25715: writeCount 8563
25869: writeCount 23656
25998: writeCount 33391
26478: writeCount 76474
26519: writeCount 65257
26588: writeCount 59210
27036: writeCount 56011
27134: writeCount 61618
27257: writeCount 66806
27355: writeCount 31779
27514: writeCount 37886
27562: writeCount 30512
27598: writeCount 24447
27713: writeCount 20127
27730: writeCount 16901
27754: writeCount 15617
28018: writeCount 30569
28160: writeCount 43288
28210: writeCount 45820
28235: writeCount 21891
28253: writeCount 9375
28313: writeCount 10355
28360: writeCount 12460
28405: writeCount 15088
28535: writeCount 22139
28739: writeCount 37859
28754: writeCount 34860
28790: writeCount 25419
28846: writeCount 10584
28908: writeCount 15301
28914: writeCount 12376
29003: writeCount 15593
29062: writeCount 15376
29201: writeCount 28567
